,player_display_name,position_group,next_fantasy_points,importance,replacement,PAR,draft_value
31,Josh Reynolds,WR,6.077209760139525,1.1252607129235312,10.747083344871141,-4.669873584731616,-5.254825279217864
32,Marquez Valdes-Scantling,WR,5.179043001289741,1.1252607129235312,10.747083344871141,-5.5680403435814005,-6.2654970466053905
33,Courtland Sutton,WR,10.711910843428308,1.1252607129235312,10.747083344871141,-0.03517250144283324,-0.03957823404886646
34,Justin Watson,WR,2.4438974968856972,1.1252607129235312,10.747083344871141,-8.303185847985445,-9.343248826840677
35,Ray-Ray McCloud,WR,5.084470607735912,1.1252607129235312,10.747083344871141,-5.6626127371352295,-6.371915645598657
36,Cedrick Wilson,WR,7.563424807401535,1.1252607129235312,10.747083344871141,-3.183658537469606,-3.5824458755781357
37,Trent Sherfield,WR,4.005315512954137,1.1252607129235312,10.747083344871141,-6.741767831917004,-7.586246476907857
38,Allen Lazard,WR,5.884449568841793,1.1252607129235312,10.747083344871141,-4.862633776029348,-5.471730749500827
39,Brandon Powell,WR,3.310579225563164,1.1252607129235312,10.747083344871141,-7.436504119307978,-8.368005926951271
40,Christian Kirk,WR,9.77625342537265,1.1252607129235312,10.747083344871141,-0.9708299194984917,-1.0924367673423672
41,D.J. Moore,WR,14.627675800753405,1.1252607129235312,10.747083344871141,3.8805924558822635,4.366678233471752
42,Calvin Ridley,WR,10.23472332913808,1.1252607129235312,10.747083344871141,-0.5123600157330621,-0.5765385965772971
43,KhaDarel Hodge,WR,5.9952406940228595,1.1252607129235312,10.747083344871141,-4.751842650848282,-5.34706184899398
44,Dante Pettis,WR,4.840194205661453,1.1252607129235312,10.747083344871141,-5.906889139209689,-6.646790283947358
45,Jakobi Meyers,WR,8.923002090782695,1.1252607129235312,10.747083344871141,-1.824081254088446,-2.0525669724060136
46,Ashton Dulin,WR,2.4505385417299337,1.1252607129235312,10.747083344871141,-8.296544803141208,-9.335775919984693
47,Mecole Hardman,WR,5.928203303292422,1.1252607129235312,10.747083344871141,-4.818880041578719,-5.422496391079846
48,Olamide Zaccheaus,WR,6.67515192132594,1.1252607129235312,10.747083344871141,-4.071931423545202,-4.581984456634204
49,Diontae Johnson,WR,5.752906907907752,1.1252607129235312,10.747083344871141,-4.994176436963389,-5.619750537923324
50,Lil'Jordan Humphrey,WR,4.851288860879586,1.1252607129235312,10.747083344871141,-5.895794483991556,-6.634305904306961
51,Greg Dortch,WR,3.6366322637293376,1.1252607129235312,10.747083344871141,-7.110451081141804,-8.00111125277352
52,Darius Slayton,WR,5.255377332040208,1.1252607129235312,10.747083344871141,-5.491706012830933,-6.1796010231645795
53,DK Metcalf,WR,11.066902438471041,1.1252607129235312,10.747083344871141,0.31981909359990013,0.3598798612707812
54,Terry McLaurin,WR,11.402839622474733,1.1252607129235312,10.747083344871141,0.6557562776035919,0.7378967764402989
55,A.J. Brown,WR,13.972902132288134,1.1252607129235312,10.747083344871141,3.2258187874169924,3.629887148490966
56,Deebo Samuel,WR,8.448059257843312,1.1252607129235312,10.747083344871141,-2.2990240870278296,-2.587001483197306
57,Nick Westbrook-Ikhine,WR,5.697353533800335,1.1252607129235312,10.747083344871141,-5.049729811070806,-5.682262567276744
58,Gabe Davis,WR,2.0822240633655196,1.1252607129235312,10.747083344871141,-8.664859281505622,-9.750225732489094
